Question,Answer
西藏的健身房怎么样？,法师是在职场出现问题的时候，律师的保驾护航
你去年的计划是什么？,毁伤贼是在职场出现操蛋问题的时候，能帮你背刺和翻脸的人
长沙和芒果的游学怎么样？,我觉得职场体系偏于暗黑世界，而不是魔兽世界
现在去台湾难吗？,暗黑里面基本没有奶妈
你觉得台湾值得去吗？,都得靠自己
你喜欢废土风格吗？,我之前的职业中很长时间致力于成为巫妖王时代的惩戒骑
桃园机场怎么样？,现在好像员工把团建当做加班看了
你觉得不用担心什么？,你这是进了个毛团？
和平解放的方式是什么？,我在想，如果炒饭会组织个 2 天的玩团，能组织起来么
围住然后登记的方式是什么？,这位山东同学收收味
围住不攻的方法如何？,大中午的就喝是吧
你觉得兵不血刃是拿台湾的好方法吗？,是，所有人都高反，最后讲啥也听不球懂，也记不住
官方口径中的台湾同胞是什么意思？,你可以先试试海埂的
告台湾人民书的流程是什么？,西藏健身房？
阿共仔是什么？,这我真不行
你觉得奥运会得金牌有面子吗？,其实我去年想搞一个去长沙，游学芒果，然后去张家界的线
战舰的名字应该怎么取？,芒果都谈好了
艾森豪威尔号被粉红小兔叽号击沉，你觉得怎么样？,台湾现在去太难了吧？
战报和新闻报道的影响是什么？,说不定就不值得去了呢。。。
阳光彩虹小白马号和腻歌号怎么样？,你喜欢废土风？
炒饭会和管理课有什么区别？,桃园最危险的是机场
骡子和驴有什么区别？,机场基本 100% 被打
